"Ask about this product","Zapytaj o produkt"
"Submit","Wyślij"
"Name","Imię"
"Email","Adres e-mail"
"Message","Wiadomość"
"Your inquiry has been sent successfully.","Twoje zapytanie zostało wysłane pomyślnie."
"An error occurred while sending your inquiry. Please try again later.","Wystąpił błąd podczas wysyłania zapytania. Proszę spróbować ponownie później."
"Invalid request.","Nieprawidłowe żądanie."
"Name is required.","Imię jest wymagane."
"A valid email is required.","Wymagany jest prawidłowy adres e-mail."
"Message is required.","Wiadomość jest wymagana."
"Success","Sukces"
"Error","Błąd"
"Email recipient is not configured.","Odbiorca e-mail nie jest skonfigurowany."
"Something went wrong. Please try again later.","Coś poszło nie tak. Proszę spróbować ponownie później."
"General Settings","Ustawienia ogólne"
"Enter the email address to receive product inquiries.","Wpisz adres e-mail do otrzymywania zapytań o produkt."
